epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,465.595,1.00288,0.65548,1.1369,0.84206,0.77203,0.86466,0.59087,1.13282,0.78776,1.2549,0.0008647,0.0008647,0.0008647
43,476.649,0.99758,0.63153,1.13819,0.80509,0.83119,0.86541,0.59116,1.1652,0.80334,1.2598,0.0008614,0.0008614,0.0008614
44,487.717,0.97172,0.62691,1.12076,0.85005,0.80622,0.87354,0.57893,1.19162,0.7872,1.28678,0.0008581,0.0008581,0.0008581
45,498.771,1.00237,0.64599,1.1287,0.80715,0.8138,0.85713,0.6047,1.12057,0.7782,1.23864,0.0008548,0.0008548,0.0008548
46,509.83,0.99497,0.63005,1.11931,0.82713,0.82402,0.86605,0.59994,1.13505,0.81281,1.25152,0.0008515,0.0008515,0.0008515
47,520.881,0.98423,0.62394,1.12082,0.82347,0.83865,0.8736,0.61483,1.13914,0.76372,1.24513,0.0008482,0.0008482,0.0008482
48,531.979,0.98167,0.61633,1.11689,0.82965,0.84001,0.87787,0.60754,1.14212,0.77712,1.24712,0.0008449,0.0008449,0.0008449
49,543.015,0.97623,0.6135,1.11643,0.82391,0.84674,0.87701,0.61132,1.13626,0.75251,1.23959,0.0008416,0.0008416,0.0008416
50,554.063,0.96986,0.60505,1.11027,0.83889,0.83687,0.8691,0.60069,1.12676,0.78427,1.2362,0.0008383,0.0008383,0.0008383
51,565.122,0.96636,0.62878,1.11424,0.81426,0.81472,0.86977,0.61558,1.10854,0.78933,1.22582,0.000835,0.000835,0.000835
52,576.218,0.97071,0.60771,1.11938,0.81432,0.82935,0.88567,0.57448,1.20038,0.79197,1.31465,0.0008317,0.0008317,0.0008317
53,587.245,0.93772,0.596,1.10168,0.85816,0.81341,0.88446,0.61769,1.13395,0.74572,1.23609,0.0008284,0.0008284,0.0008284
54,598.325,0.96798,0.61125,1.10065,0.80883,0.85606,0.85698,0.59913,1.1277,0.74503,1.24679,0.0008251,0.0008251,0.0008251
55,609.35,0.95218,0.59163,1.10672,0.83588,0.83671,0.88316,0.60865,1.16184,0.75339,1.26566,0.0008218,0.0008218,0.0008218
56,620.423,0.95202,0.59009,1.09866,0.82593,0.79999,0.8756,0.61238,1.12703,0.76405,1.23372,0.0008185,0.0008185,0.0008185
57,631.937,0.93489,0.58265,1.09049,0.80289,0.85412,0.86363,0.58989,1.14347,0.7588,1.24576,0.0008152,0.0008152,0.0008152
58,643.012,0.92836,0.58207,1.09133,0.83098,0.85148,0.8793,0.62328,1.11868,0.73432,1.21639,0.0008119,0.0008119,0.0008119
59,654.097,0.93676,0.59238,1.09708,0.85862,0.82346,0.88615,0.60937,1.15677,0.76582,1.25189,0.0008086,0.0008086,0.0008086
60,665.134,0.93669,0.58871,1.10345,0.79967,0.84876,0.8714,0.60106,1.13795,0.76454,1.24695,0.0008053,0.0008053,0.0008053
61,676.182,0.92496,0.56232,1.08953,0.83343,0.82062,0.86866,0.6102,1.13256,0.74093,1.25894,0.000802,0.000802,0.000802
62,687.246,0.92943,0.57407,1.08617,0.80442,0.86055,0.87732,0.61383,1.13503,0.73129,1.23688,0.0007987,0.0007987,0.0007987
63,698.279,0.90801,0.56154,1.08124,0.84589,0.82698,0.88008,0.62725,1.11306,0.7261,1.21935,0.0007954,0.0007954,0.0007954
64,709.354,0.91325,0.55733,1.0777,0.85704,0.84128,0.89049,0.62165,1.11713,0.71345,1.22846,0.0007921,0.0007921,0.0007921
65,720.414,0.90262,0.54903,1.07943,0.83605,0.84534,0.89296,0.6355,1.10555,0.68421,1.21281,0.0007888,0.0007888,0.0007888
